char_id,ontology,list_of_finest_character
157,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
158,hao,"http://purl.obolibrary.org/obo/HAO_0001353"
158,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
159,hao,"http://purl.obolibrary.org/obo/HAO_0001353"
159,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
160,hao,"http://purl.obolibrary.org/obo/HAO_0000558,http://purl.obolibrary.org/obo/HAO_0000603"
160,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
161,hao,"http://purl.obolibrary.org/obo/HAO_0000567"
161,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
162,hao,"http://purl.obolibrary.org/obo/HAO_0000258"
162,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
163,hao,"http://purl.obolibrary.org/obo/HAO_0000556"
163,pato,"http://purl.obolibrary.org/obo/HAO_0000557"
164,hao,"http://purl.obolibrary.org/obo/HAO_0000993,http://purl.obolibrary.org/obo/HAO_0000853"
164,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
165,hao,"http://purl.obolibrary.org/obo/HAO_0000542"
165,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
166,hao,"http://purl.obolibrary.org/obo/HAO_0002505,http://purl.obolibrary.org/obo/HAO_0000557"
166,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
167,hao,"http://purl.obolibrary.org/obo/HAO_0000811"
167,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
168,hao,"http://purl.obolibrary.org/obo/HAO_0000769"
168,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
169,hao,"http://purl.obolibrary.org/obo/HAO_0002506"
169,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
170,hao,"http://purl.obolibrary.org/obo/HAO_0000537"
170,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
171,hao,"http://purl.obolibrary.org/obo/HAO_0001357"
171,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
172,hao,"http://purl.obolibrary.org/obo/HAO_0001358"
172,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
173,hao,"http://purl.obolibrary.org/obo/HAO_0001359"
173,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
174,hao,"http://purl.obolibrary.org/obo/HAO_0001359,http://purl.obolibrary.org/obo/HAO_0000537"
174,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
175,hao,"http://purl.obolibrary.org/obo/HAO_0000562"
175,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
176,hao,"http://purl.obolibrary.org/obo/HAO_0001694"
176,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
177,hao,"http://purl.obolibrary.org/obo/HAO_0002507"
177,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
178,hao,"http://purl.obolibrary.org/obo/HAO_0000292"
178,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
179,hao,"http://purl.obolibrary.org/obo/HAO_0000294"
179,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
180,hao,"http://purl.obolibrary.org/obo/HAO_0000975"
180,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
181,hao,"http://purl.obolibrary.org/obo/HAO_0000560"
181,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
182,hao,"http://purl.obolibrary.org/obo/HAO_0000953"
182,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
183,hao,"http://purl.obolibrary.org/obo/HAO_0000794"
183,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
184,hao,"http://purl.obolibrary.org/obo/HAO_0001785"
184,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
185,hao,"http://purl.obolibrary.org/obo/HAO_0001383"
185,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
186,hao,"http://purl.obolibrary.org/obo/HAO_0001383"
186,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
187,hao,"http://purl.obolibrary.org/obo/HAO_0000549,http://purl.obolibrary.org/obo/HAO_0001785"
187,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
188,hao,"http://purl.obolibrary.org/obo/HAO_0002508"
188,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
189,hao,"http://purl.obolibrary.org/obo/HAO_0000475"
189,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
